unmatched log - 2026-03-13T05:52:21.725Z
合計: 1050行

案件管理番号 | システム名 | 対応内容
--------------------------------------------------------------------------------
2023100500008 | Web情変_M00019 | SB/YM/LINEMO支払方法変更WEB画面にサポートサイト帳票DLリンクを追加
2023100500008 | Web情変_M00019 | SB/YM/LINEMO支払方法変更WEB画面の資料請求案内文言をダウンロード説明文言へ変更
2023100500008 | 公式アプリ（システム正式名称の記載なし） | SB/YM/LINEMO支払方法変更メニュー画面へサポートサイト帳票DLリンクを追加
2023100500008 | 公式アプリ（システム正式名称の記載なし） | SB/YM/LINEMO支払方法変更メニュー画面の案内テキストをDL・資料請求併記文言に変更
2023101200017 | GINIE | 回線OP追加画面に当該OPを追加し、IMEI・端末種別必須入力と桁数・重複チェックを実装
2023101200017 | GINIE | 新規・機種変更・番号移行後処理画面に「店頭スマホサポートへ」ボタンを表示しIMEI自動連携
2023101200017 | GINIE | 新規・機種変更・番号移行・情報変更時の注意事項画面に当該OP情報・利用規約URLを表示
2023101200017 | GINIE | MNP転出・解約時の注意事項PDFに当該OP月額料金と自動解除案内を追加出力
2023101200017 | GINIE | 番号移行・解約・電話番号メールお預かり手続き時に当該OP自動解除処理を追加
2023101200017 | GINIE | 譲渡・家族割名義変更・承継時に当該OP継続および「別途情変解除」ワーニングを表示
2023101200017 | GINIE | 情報変更の顧客照会画面から当該OP加入／解除操作とIMEI登録を可能にする
2023101200017 | GINIE | 顧客照会画面で当該OPプラン・契約日・次回点検時期・IMEI等を表示する機能を追加
2023101200017 | GINIE | IVR連携用に当該OP加入有無を返却し、音声読み上げでオプション名を案内する機能を追加
2023101200017 | GINIE | 店頭サポート登録画面で回線OP加入とIMEI一致を判定しサブスク画面／ショット画面を出し分け
2023101200017 | GINIE | 店頭サポート登録時に「定額契約中・IMEI確認」ワーニングと加入プラン種別表示を追加
2023101200017 | GINIE | サポート実施履歴照会画面で当該OP加入端末の履歴を既存定額OP同様に表示
2023101200017 | GINIE | 定期点検・継続特典対象者へSMS送信するためのバッチ連携と送信条件ロジックを追加
2023101200017 | GINIE | 回線ステータス別に当該OP追加・削除・サポート受付可否を判定する制御を実装
2023101200017 | BFS_M00049 | なんサポ／ワイサポ申込画面に当該OP重複加入注意メッセージを表示する処理を追加
