案件管理番号,システム名,対応内容,工数（人月）
2021102000011,OLS_M00494,商品マスタにおいて、商品コード単位で発売日着対応の要否フラグを設定する機能を追加する,0.12
2021102000011,OLS_M00494,商品マスタにおいて、対象商品コードの業者別時間指定の可否を制御するロジックを実装する,0.14
2021102000011,OLS_M00494,商品マスタにおいて、予約期間が重複する他商品の時間指定可否を制御する項目を定義する,9.05
2021102000011,OLS_M00494,配送時間指定不可とする期間を、発売日から発売日＋6日の計7日間に固定する制御を変更する,1.50
2021120700031,MARS_M00306,割賦金額調整マスタにて、割引額を主管にて設定できるようにする,0.99
2021120700031,COP_M00365,キャンペーン、特典パック、特典の払い出し,1.10
2021120700031,CCOC_M00321,新特典の代理店メンテ画面の対応,0.28
2021120700031,販売管理ｼｽﾃﾑ_M00050,新特典の取り込み対応,1.40
2021120700031,Veritas_M00413,新キャンペーンの作成,1.00
2021120700031,OLS_M00494,割賦（48回/24回）選択時の割引一覧において、一括払い限定の3G買い替えキャンペーンをグレーアウトで表示する。,9.00
2021120700031,OLS_M00494,グレーアウト表示されたキャンペーン項目内に「ご希望の場合は一括払いを選択してください」という誘導文言を追加する。,3.98
2021120700031,OLS_M00494,ダミーカタログの登録変更（特典:$200000034、ID:8116）により、店頭とOLSで適用されるキャンペーン内容を統一する。,10.72
2022082200007,CCOC_M00321,審査工程において特属性を判定し、詳細審査（目検）が必要な対象を審査センターの担当部署へ振り分ける。,0.40
2022082200007,CCOC_M00321,審査画面において審査員がOK/NGの判定結果を入力し、その結果を処理結果詳細コードとしてOLSへ返却する。,5.21
2022082200007,Veritas_M00413,審査の受付区分新設、メモ属性変更,2.30
2022082200007,OLS_M00494,CCOCから返却される目検結果（詳細審査中ステータスや判定結果コード）をAPI経由で受信し保持する。,6.93
2022082200007,OLS_M00494,受信した詳細審査結果に基づき、最終的な審査ステータスを自動でOKまたはNGに振り分け更新する。,6.93
2022111000011,DWH_M00853,[ユーザー行動ログ]に基づき、カンタン手続き利用による離脱抑制効果および収支状況を計測・集計する機能を追加,1.55
2022111000011,Veritas_M00413,選択可能機能の試験協力対応,1.70
2022111000011,OLS_M00494,[購入手続き画面]において、機種選択後に料金プラン・オプション選択をスキップし、申込内容確認画面へ遷移する制御を追加,0.76
2022111000011,OLS_M00494,[機種変更の判定ロジック]において、機変前の状態を参照し、適用可能な機種やプラン継続可否を自動判別する処理を実装,5.05
2022111000011,OLS_M00494,[申込完了後の個人ページ]において、手続き時にスキップしたオプション加入やプラン見直しを促進するプロモエリアを配置,13.79
2022111000011,Cafe_M00875,カンタン手続き対象のプラン判定を行う,0.95
2022111000012,OLS_M00494,製品紹介ページにおいて、カラーごとのオンラインショップ在庫ステータスを表示する機能を追加する,0.28
2022111000012,OLS_M00494,在庫および予約受付が共に「なし」の判定となった場合、予約・購入ボタン等のOLS遷移導線を非表示にする,0.48
2022111000012,OLS_M00494,機種ページ内の在庫表示箇所において、在庫状況が変動する可能性を示す注意文言を掲載するロジックを実装する,1.29
2022111000013,MARS_M00306,対象プロダクト（iPhone/Android等）に対し、一括・24回・48回（各パターン込）の割引金額を設定・登録する。,2.99
2022111000013,GINIE1_M00002,旧キャンペーン「Web割」の蓋締め対応,8.60
2022111000013,Web情変_M00019,新キャンペーン「オンラインショップ割」をMyキャンペーンへ追加,0.95
2022111000013,COP_M00365,キャンペーン、特典パック、特典の払い出し,0.20
2022111000013,CCOC_M00321,割賦金額調整マスタ取り込み、代理店メンテの対応（端末S#付替）,0.85
2022111000013,販売管理ｼｽﾃﾑ_M00050,割賦金額調整マスタ取り込み、バッチ改修,14.76
2022111000013,Veritas_M00413,CAERUS新設および修正対応、既存キャンペーン終了対応,5.60
2022111000013,KIIRO_M00487,帳票出力の試験対応,0.20
2022111000013,CME_顧客照会/BB解約_M00494,新キャンペーン照会対応,0.50
2022111000013,OLS_M00494,特典申込画面および購入フローにおいて、全プランを対象とした新しい機種代金割引の選択と適用処理を追加する。,23.85
2022111000013,DWH_M00853,項目追加・試験対応,0.70
2022111000013,Similis_M00817,新キャンペーン対応（バッチ改修、料金定義、API改修）,2.83
2022111000013,Cafe_M00875,"新キャンペーン対応（割引金額が前半後半で変動可となることで、MARS割賦金額調整マスタの項目が追加される）
・MARS取込バッチ
・キャンペーン特典情報取得改修
・商品価格取得改修",1.75
2022111000015,SoftBank-Reports -_M00675,iphoneイベントレポート作成対応,1.00
