案件管理番号,案件名,システム名,対応内容,合計工数（人月）,工数（人月）
2023101200017,【店頭スマホサポート定額】SIM単体契約用定額サービス,CCOC_M00321,当該OP加入時のIMEI・端末種別情報を受信・保持しDWH連携に利用可能とする,3.15,3.15
2023101200017,【店頭スマホサポート定額】SIM単体契約用定額サービス,KIIRO_M00487,料金一覧（料金のご案内）帳票に当該OP料金・プラン名を回線付帯OPとして表示,0.2,0.2
2023101200017,【店頭スマホサポート定額】SIM単体契約用定額サービス,CaMP_M00053,当該OP獲得店舗・最終サポート受付店舗別インセンティブ計算ロジックを追加,5,5
2023101200017,【店頭スマホサポート定額】SIM単体契約用定額サービス,DWH_M00853,当該OP加入・解除・サポート実施・特典・リモートサポート関連データの格納項目追加,4.8,4.8
2023101200017,【店頭スマホサポート定額】SIM単体契約用定額サービス,CindyM_M00648,継続特典引換実績・直近引換可能期間をDWH_M00853連携用に保持する機能を追加,1.3,1.3
2023101200017,【店頭スマホサポート定額】SIM単体契約用定額サービス,Web情変_M00019,情報変更業務で当該OP加入・解除を受付し、自動解除対象イベントを制御,4.7,4.7
2023101600002,【審査】（CCOC）自社要注意者情報への強制解約者情報連携の廃止,DWH_M00853,自社要注意者DB向け強制解約者データファイルkyousei.dat連携を停止する設定変更,0.3,0.3
2023102400044,【YM】【LM】OLS追加回線契約時の本人確認スキップ,CCOC_M00321,契約者本人確認不要OKフラグ付きオーダーを審査NG・不備扱いにしない判定ロジックへの条件追加,1.12,0.34
2023102400044,【YM】【LM】OLS追加回線契約時の本人確認スキップ,CCOC_M00321,本人確認書類なしオーダーについてAIOCRスキップ後に即本審査へ進める審査フローへの改修,1.12,0.41
2023102400044,【YM】【LM】OLS追加回線契約時の本人確認スキップ,CCOC_M00321,不正疑義等でセンター遷移させる際に本人確認不要OK属性を併記するメモ属性設定処理を追加,1.12,0.37
2023111700012,不正クルーによる申込の抑止対応,CCOC_M00321,GINIE連携受信IFで東芝OCR読取情報（氏名／住所／生年月日／性別）を受信し保持する処理を追加,3.92,1.04
